"Team","W","L","W/L%","GB","PS/G","PA/G","SRS","Year","Total.PF","Total.PA","Ratio"
"Oklahoma City Thunder",59,23,0.72,0,106.2,99.8,6.66,2014,8708,8184,1.06402737047898
"Portland Trail Blazers",54,28,0.659,5,106.7,102.8,4.44,2014,8749,8430,1.03784104389087
"Minnesota Timberwolves",40,42,0.488,19,106.9,104.3,3.1,2014,8766,8553,1.02490354261663
"Denver Nuggets",36,46,0.439,23,104.4,106.5,-1.4,2014,8561,8733,0.980304591778312
"Utah Jazz",25,57,0.305,34,95,102.2,-6.27,2014,7790,8380,0.929594272076372
"Los Angeles Clippers",57,25,0.695,0,107.9,101,7.27,2014,8848,8282,1.06834098043951
"Golden State Warriors",51,31,0.622,6,104.3,99.5,5.15,2014,8553,8159,1.04829023164603
"Phoenix Suns",48,34,0.585,9,105.2,102.6,3.02,2014,8626,8413,1.02531796029954
"Sacramento Kings",28,54,0.341,29,100.5,103.4,-2.08,2014,8241,8479,0.971930652199552
"Los Angeles Lakers",27,55,0.329,30,103,109.2,-5.33,2014,8446,8954,0.943265579629216
"San Antonio Spurs",62,20,0.756,0,105.4,97.6,8,2014,8643,8003,1.07997001124578
"Houston Rockets",54,28,0.659,8,107.7,103.1,5.06,2014,8831,8454,1.04459427489946
"Memphis Grizzlies",50,32,0.61,12,96.1,94.6,2.18,2014,7880,7757,1.01585664561042
"Dallas Mavericks",49,33,0.598,13,104.8,102.4,2.91,2014,8594,8397,1.02346075979517
"New Orleans Pelicans",34,48,0.415,28,99.7,102.4,-1.98,2014,8175,8397,0.973561986423723
"Toronto Raptors",49,33,0.598,0,104,100.9,2.45,2015,8528,8274,1.03069857384578
"Boston Celtics",40,42,0.488,9,101.4,101.2,-0.4,2015,8315,8298,1.00204868643047
"Brooklyn Nets",38,44,0.463,11,98,100.9,-3.13,2015,8036,8274,0.971235194585448
"Philadelphia ers",18,64,0.22,31,92,101,-9.04,2015,7544,8282,0.910891089108911
"New York Knicks",17,65,0.207,32,91.9,101.2,-9.5,2015,7536,8298,0.908170643528561
"Cleveland Cavaliers",53,29,0.646,0,103.1,98.7,4.08,2015,8454,8093,1.04460645001853
"Chicago Bulls",50,32,0.61,3,100.8,97.8,2.54,2015,8266,8020,1.03067331670823
"Milwaukee Bucks",41,41,0.5,12,97.8,97.4,-0.09,2015,8020,7987,1.00413171403531
"Indiana Pacers",38,44,0.463,15,97.3,97,-0.23,2015,7979,7954,1.00314307266784
"Detroit Pistons",32,50,0.39,21,98.5,99.5,-1.39,2015,8077,8159,0.989949748743719
"Atlanta Hawks",60,22,0.732,0,102.5,97.1,4.75,2015,8405,7962,1.0556392866114
"Washington Wizards",46,36,0.561,14,98.5,97.8,0.17,2015,8077,8020,1.0071072319202
"Miami Heat",37,45,0.451,23,94.7,97.3,-2.92,2015,7765,7979,0.973179596440657
"Charlotte Hornets",33,49,0.402,27,94.2,97.3,-3.44,2015,7724,7979,0.968041107908259
"Orlando Magic",25,57,0.305,35,95.7,101.4,-5.87,2015,7847,8315,0.94371617558629
"Portland Trail Blazers",51,31,0.622,0,102.8,98.6,4.41,2015,8430,8085,1.04267161410019
"Oklahoma City Thunder",45,37,0.549,6,104,101.8,2.47,2015,8528,8348,1.02156205079061
"Utah Jazz",38,44,0.463,13,95.1,94.9,0.71,2015,7798,7782,1.00205602672835
"Denver Nuggets",30,52,0.366,21,101.5,105,-3.07,2015,8323,8610,0.966666666666667
"Minnesota Timberwolves",16,66,0.195,35,97.8,106.5,-8,2015,8020,8733,0.918355662429864
"Golden State Warriors",67,15,0.817,0,110,99.9,10.01,2015,9020,8192,1.10107421875
"Los Angeles Clippers",56,26,0.683,11,106.7,100.1,6.8,2015,8749,8208,1.06591130604289
"Phoenix Suns",39,43,0.476,28,102.4,103.3,-0.38,2015,8397,8471,0.991264313540314
"Sacramento Kings",29,53,0.354,38,101.3,105,-3.07,2015,8307,8610,0.964808362369338
"Los Angeles Lakers",21,61,0.256,46,98.5,105.3,-6.17,2015,8077,8635,0.935379270411118
"Houston Rockets",56,26,0.683,0,103.9,100.5,3.82,2015,8520,8241,1.03385511467055
"San Antonio Spurs",55,27,0.671,1,103.2,97,6.34,2015,8462,7954,1.06386723661051
"Memphis Grizzlies",55,27,0.671,1,98.3,95.1,3.62,2015,8061,7798,1.03372659656322
"Dallas Mavericks",50,32,0.61,6,105.2,102.3,3.36,2015,8626,8389,1.02825128143998
"New Orleans Pelicans",45,37,0.549,11,99.4,98.6,1.13,2015,8151,8085,1.00816326530612
"Cleveland Cavaliers",57,25,0.695,0,104.3,98.3,5.45,2016,8553,8061,1.06103461109044
"Toronto Raptors",56,26,0.683,1,102.7,98.2,4.08,2016,8421,8052,1.04582712369598
"Miami Heat",48,34,0.585,9,100,98.4,1.5,2016,8200,8069,1.01623497335481
"Atlanta Hawks",48,34,0.585,9,102.8,99.2,3.49,2016,8430,8134,1.03639045979838
"Boston Celtics",48,34,0.585,9,105.7,102.5,2.84,2016,8667,8405,1.03117192147531
"Charlotte Hornets",48,34,0.585,9,103.4,100.7,2.36,2016,8479,8257,1.02688627830931
"Indiana Pacers",45,37,0.549,12,102.2,100.5,1.62,2016,8380,8241,1.01686688508676
"Detroit Pistons",44,38,0.537,13,102,101.4,0.43,2016,8364,8315,1.00589296452195
"Chicago Bulls",42,40,0.512,15,101.6,103.1,-1.46,2016,8331,8454,0.985450674237048
"Washington Wizards",41,41,0.5,16,104.1,104.6,-0.5,2016,8536,8577,0.995219773813688
"Orlando Magic",35,47,0.427,22,102.1,103.7,-1.68,2016,8372,8503,0.984593672821357
"Milwaukee Bucks",33,49,0.402,24,99,103.2,-3.98,2016,8118,8462,0.959347671945167
"New York Knicks",32,50,0.39,25,98.4,101.1,-2.74,2016,8069,8290,0.973341375150784
"Brooklyn Nets",21,61,0.256,36,98.6,106,-7.12,2016,8085,8692,0.930165669581224
"Philadelphia ers",10,72,0.122,47,97.4,107.6,-9.92,2016,7987,8823,0.905247648192225
"Golden State Warriors",73,9,0.89,0,114.9,104.1,10.38,2016,9422,8536,1.10379568884724
"San Antonio Spurs",67,15,0.817,6,103.5,92.9,10.28,2016,8487,7618,1.11407193489105
"Oklahoma City Thunder",55,27,0.671,18,110.2,102.9,7.09,2016,9036,8438,1.07086987437781
"Los Angeles Clippers",53,29,0.646,20,104.5,100.2,4.13,2016,8569,8216,1.04296494644596
"Portland Trail Blazers",44,38,0.537,29,105.1,104.3,0.98,2016,8618,8553,1.00759967262949
"Dallas Mavericks",42,40,0.512,31,102.3,102.6,-0.02,2016,8389,8413,0.997147272078926
"Memphis Grizzlies",42,40,0.512,31,99.1,101.3,-2.14,2016,8126,8307,0.978211147225232
"Houston Rockets",41,41,0.5,32,106.5,106.4,0.34,2016,8733,8725,1.00091690544413
"Utah Jazz",40,42,0.488,33,97.7,95.9,1.84,2016,8011,7864,1.01869277721261
"Sacramento Kings",33,49,0.402,40,106.6,109.1,-2.32,2016,8741,8946,0.977084730605857
"Denver Nuggets",33,49,0.402,40,101.9,105,-2.81,2016,8356,8610,0.970499419279907
"New Orleans Pelicans",30,52,0.366,43,102.7,106.5,-3.56,2016,8421,8733,0.964273445551357
"Minnesota Timberwolves",29,53,0.354,44,102.4,106,-3.38,2016,8397,8692,0.966060745513115
"Phoenix Suns",23,59,0.28,50,100.9,107.5,-6.32,2016,8274,8815,0.93862733976177
"Los Angeles Lakers",17,65,0.207,56,97.3,106.9,-8.92,2016,7979,8766,0.910221309605293
